Name,Price,Cuisine Category,City,Region,Cuisine Types,Rating Types,Rating
The Salt Cafe Kitchen & Bar,1000,"North Indian,Continental,Italian",Agra,Tajganj,Casual Dining,Excellent,4.8
Bhagat Halwai,300,"Desserts,Bakery,Fast Food,South Indian",Agra,Civil Lines,Quick Bites,Very Good,4.3
Bikanervala,700,"North Indian,South Indian,Mithai,Street Food,Desserts",Agra,Khandari,Quick Bites,Very Good,4.4
Mama Chicken Mama Franky House,600,"North Indian,Mughlai,Rolls,Chinese,Fast Food,Street Food",Agra,Agra Cantt,Quick Bites,Very Good,4.3
Honeydew Restaurant,500,"North Indian,Fast Food,Chinese,South Indian",Agra,Dayal Bagh,Quick Bites,Very Good,4.1
Cafe Turquoise Cottage,1600,"North Indian,Chinese,Continental,Italian,Pizza",Agra,Tajganj,Casual Dining,Excellent,4.7
Hichkee,1200,"Continental,North Indian,Chinese",Agra,Civil Lines,Casual Dining,Very Good,4.4
Domino's Pizza,700,"Pizza,Fast Food",Agra,Civil Lines,Quick Bites,Good,3.9
Urban Deck,1000,"Mexican,Italian,North Indian",Agra,Khandari,Casual Dining,Very Good,4.3
Pinch Of Spice,1600,"North Indian,Chinese,Mughlai",Agra,Civil Lines,Casual Dining,Excellent,4.5
Pizza Hut,700,"Italian,Pizza",Agra,Tajganj,Casual Dining,Very Good,4.0
Aahar,700,"North Indian,South Indian,Chinese,Bakery,Momos",Agra,Civil Lines,Casual Dining,Very Good,4.0
Tea'se Me - Rooftop Tea Boutique,1000,"Chinese,Italian,Continental,North Indian",Agra,Tajganj,Casual Dining,Excellent,4.7
Shree Balaji Family Restaurant,400,"North Indian,South Indian,Fast Food",Agra,Sikandra,Quick Bites,Good,3.8
GMB - Gopika Sweets & Restaurant,400,"Desserts,North Indian,South Indian,Chinese,Fast Food,Street Food",Agra,Tajganj,Casual Dining,Very Good,4.1
Kings Pizza And Burger,200,Fast Food,Agra,Kamla Nagar,Quick Bites,Good,3.5
RS Sweets & Restaurant,650,"North Indian,South Indian",Agra,Dayal Bagh,Casual Dining,Good,3.7
Cake D'or,1600,"Bakery,Desserts",Agra,Civil Lines,Bakery,Very Good,4.1
Mirch  Lagi,100,North Indian,Agra,Civil Lines,Quick Bites,Good,3.7
Lakshmi Vilas,400,South Indian,Agra,Agra Cantt,Casual Dining,Good,3.7
Mughal Spice,1150,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Very Good,4.0
Cake House,300,Bakery,Agra,Kamla Nagar,Quick Bites,Good,3.7
Chai Garam,200,"Tea,Street Food",Agra,Civil Lines,Quick Bites,Average,3.4
The Global Savour,600,North Indian,Agra,Tajganj,Casual Dining,Good,3.8
Preetam,100,Bakery,Agra,Dayal Bagh,Quick Bites,Good,3.6
Golden China Restaurant,800,Chinese,Agra,Tajganj,Casual Dining,Good,3.5
Delhi Darbar Restaurant,800,"North Indian,Chinese",Agra,Rakabganj,Casual Dining,Poor,2.4
Sadar Wala,100,"Fast Food,Rolls",Agra,Shahganj,Others,Good,3.7
Jeetu Dhaba,300,North Indian,Agra,Kamla Nagar,Dhaba,Average,2.8
Pradeep Store,150,Fast Food,Agra,Kamla Nagar,Quick Bites,Good,3.5
The Star Diner,300,"North Indian,South Indian,Chinese",Agra,Agra Cantt,Casual Dining,Good,3.6
Restaurant Nukkar,200,North Indian,Agra,Civil Lines,Casual Dining,Good,3.7
D's Family Restaurant,600,"North Indian,Chinese",Agra,Sikandra,Casual Dining,Good,3.8
Desire Bakers,100,Bakery,Agra,Kamla Nagar,Bakery,Good,3.8
Shri Thakur Ji Misthan Bhandar,150,Mithai,Agra,Kamla Nagar,Sweet Shop,Good,3.5
New Agra Fast Food & Restaurant,250,North Indian,Agra,Agra Cantt,Quick Bites,Good,3.7
Sips And Bites,250,"Fast Food,Beverages,Italian",Agra,Shahganj,Quick Bites,Good,3.8
Chota Mama Chicken & Mama Veg,700,North Indian,Agra,Sikandra,Quick Bites,Average,3.0
Brijwasi  Sweets & Restaurant,300,"Mithai,North Indian",Agra,Civil Lines,Quick Bites,Average,3.4
Agarwal Sweets & Dairy,300,Desserts,Agra,Shahganj,Dessert Parlor,Good,3.8
Taj Mahal Family Restaurant,1000,"North Indian,Mughlai",Agra,Tajganj,Casual Dining,Average,3.4
The Street Cafe And Bistro,300,"Desserts,Fast Food",Agra,Kamla Nagar,Quick Bites,Average,3.4
Sai Khandelaa Restaurant,1000,"North Indian,Chinese,Continental,Mughlai",Agra,Agra Cantt,Casual Dining,Good,3.9
Pind Balluchi,1000,"Mughlai,North Indian",Agra,Sikandra,Casual Dining,Good,3.6
Biryani King,300,Biryani,Agra,Kamla Nagar,Quick Bites,Good,3.6
Taj Terrace - Hotel Taj Resorts,1000,"North Indian,Continental,Chinese",Agra,Tajganj,Casual Dining,Good,3.9
Burger Point,100,"Fast Food,Beverages",Agra,Sikandra,Quick Bites,Average,3.4
Millenium Motors and Cafe,220,Cafe,Agra,Dayal Bagh,Cafe,Good,3.6
Amritsari Tandoori Kulcha Wa Choor Choor Naan,250,North Indian,Agra,Civil Lines,Quick Bites,Good,3.7
Tongue Twister,150,Chinese,Agra,Kamla Nagar,Others,Good,3.7
Ambey Bakers,300,Bakery,Agra,Civil Lines,Bakery,Good,3.8
Udupi Shri Krishna Vilas,500,"South Indian,North Indian",Agra,Tajganj,Casual Dining,Good,3.7
Bake'O'Fy,300,"Fast Food,Desserts",Agra,Dayal Bagh,Quick Bites,Good,3.7
Chickenwala.com,300,North Indian,Agra,Sikandra,Quick Bites,Good,3.5
Red Caffino,200,"Pizza,Burger,Beverages,Desserts",Agra,Tajganj,Quick Bites,Good,3.5
Jackson Egg Corner,100,Fast Food,Agra,Civil Lines,Quick Bites,Average,3.1
